model_type,ticker,tb_config_name,model_name,feature_method,importance_group,cluster_importance,group_type,representative_model_features,n_model_features,cluster_id,cluster_n_features,cluster_features,dropped_cluster_features,importance_type
logistic_regression,ho1s,garman_klass_10d_tp2_sl2,l2_C0.1,pca,pca_012,0.2362646265801479,pca_component,['pca_012'],1,,1,['pca_012'],[],abs_standardized_logistic_coefficient
logistic_regression,ho1s,garman_klass_10d_tp2_sl2,l2_C0.1,pca,pca_003,0.16334943700169371,pca_component,['pca_003'],1,,1,['pca_003'],[],abs_standardized_logistic_coefficient
logistic_regression,ho1s,garman_klass_10d_tp2_sl2,l2_C0.1,pca,pca_002,0.12794814407316837,pca_component,['pca_002'],1,,1,['pca_002'],[],abs_standardized_logistic_coefficient
logistic_regression,ho1s,garman_klass_10d_tp2_sl2,l2_C0.1,pca,pca_009,0.11281171396538418,pca_component,['pca_009'],1,,1,['pca_009'],[],abs_standardized_logistic_coefficient
logistic_regression,ho1s,garman_klass_10d_tp2_sl2,l2_C0.1,pca,pca_014,0.11173877076149608,pca_component,['pca_014'],1,,1,['pca_014'],[],abs_standardized_logistic_coefficient
logistic_regression,ho1s,garman_klass_10d_tp2_sl2,l2_C0.1,pca,pca_011,0.08199403687168134,pca_component,['pca_011'],1,,1,['pca_011'],[],abs_standardized_logistic_coefficient
logistic_regression,ho1s,garman_klass_10d_tp2_sl2,l2_C0.1,pca,pca_008,0.05818572369692401,pca_component,['pca_008'],1,,1,['pca_008'],[],abs_standardized_logistic_coefficient
logistic_regression,ho1s,garman_klass_10d_tp2_sl2,l2_C0.1,pca,pca_010,0.02979972553243052,pca_component,['pca_010'],1,,1,['pca_010'],[],abs_standardized_logistic_coefficient
logistic_regression,ho1s,garman_klass_10d_tp2_sl2,l2_C0.1,pca,pca_015,0.011859818630330376,pca_component,['pca_015'],1,,1,['pca_015'],[],abs_standardized_logistic_coefficient
logistic_regression,ho1s,garman_klass_10d_tp2_sl2,l2_C0.1,pca,pca_004,0.0004189605109910178,pca_component,['pca_004'],1,,1,['pca_004'],[],abs_standardized_logistic_coefficient
logistic_regression,ng1s,garman_klass_10d_tp2_sl2,l1_C1,corr_cluster,"cluster_010: vol_20d_for_interaction (rep, n=2)",2.0034159184463927,correlation_cluster,['vol_20d_for_interaction'],1,10.0,2,"['vol_20d', 'vol_20d_for_interaction']",['vol_20d'],abs_standardized_logistic_coefficient
logistic_regression,ng1s,garman_klass_10d_tp2_sl2,l1_C1,corr_cluster,vol_ratio_63_126d,1.615172611578663,single_feature,['vol_ratio_63_126d'],1,,1,['vol_ratio_63_126d'],[],abs_standardized_logistic_coefficient
logistic_regression,ng1s,garman_klass_10d_tp2_sl2,l1_C1,corr_cluster,"cluster_013: gk_vol_63d (rep, n=2)",1.4152225385349677,correlation_cluster,['gk_vol_63d'],1,13.0,2,"['park_vol_63d', 'gk_vol_63d']",['park_vol_63d'],abs_standardized_logistic_coefficient
logistic_regression,ng1s,garman_klass_10d_tp2_sl2,l1_C1,corr_cluster,days_since_signal_change,1.2589037818247535,single_feature,['days_since_signal_change'],1,,1,['days_since_signal_change'],[],abs_standardized_logistic_coefficient
logistic_regression,ng1s,garman_klass_10d_tp2_sl2,l1_C1,corr_cluster,"cluster_004: ret_5d (rep, n=2)",0.9572989018254765,correlation_cluster,['ret_5d'],1,4.0,2,"['ret_5d', 'ret_5d_x_hmm_confidence']",['ret_5d_x_hmm_confidence'],abs_standardized_logistic_coefficient
logistic_regression,ng1s,garman_klass_10d_tp2_sl2,l1_C1,corr_cluster,sma50_slope,0.8853590632072156,single_feature,['sma50_slope'],1,,1,['sma50_slope'],[],abs_standardized_logistic_coefficient
logistic_regression,ng1s,garman_klass_10d_tp2_sl2,l1_C1,corr_cluster,vol_126d,0.6007657739569928,single_feature,['vol_126d'],1,,1,['vol_126d'],[],abs_standardized_logistic_coefficient
logistic_regression,ng1s,garman_klass_10d_tp2_sl2,l1_C1,corr_cluster,mom_sign_5d,0.5586970185529142,single_feature,['mom_sign_5d'],1,,1,['mom_sign_5d'],[],abs_standardized_logistic_coefficient
logistic_regression,ng1s,garman_klass_10d_tp2_sl2,l1_C1,corr_cluster,"cluster_011: ewma_vol_5d (rep, n=3)",0.4215467735412793,correlation_cluster,['ewma_vol_5d'],1,11.0,3,"['ewma_vol_5d', 'ewma_vol_10d', 'ewma_vol_20d']","['ewma_vol_10d', 'ewma_vol_20d']",abs_standardized_logistic_coefficient
logistic_regression,ng1s,garman_klass_10d_tp2_sl2,l1_C1,corr_cluster,hmm_market_calm_negative,0.26239950977861115,single_feature,['hmm_market_calm_negative'],1,,1,['hmm_market_calm_negative'],[],abs_standardized_logistic_coefficient
logistic_regression,ng1s,garman_klass_10d_tp2_sl2,l1_C1,corr_cluster,signal_changed,0.2395766774989567,single_feature,['signal_changed'],1,,1,['signal_changed'],[],abs_standardized_logistic_coefficient
logistic_regression,ng1s,garman_klass_10d_tp2_sl2,l1_C1,corr_cluster,volume_log_change,0.23165429214713984,single_feature,['volume_log_change'],1,,1,['volume_log_change'],[],abs_standardized_logistic_coefficient
logistic_regression,ng1s,garman_klass_10d_tp2_sl2,l1_C1,corr_cluster,open_interest_log_change,0.18766792405631622,single_feature,['open_interest_log_change'],1,,1,['open_interest_log_change'],[],abs_standardized_logistic_coefficient
logistic_regression,ng1s,garman_klass_10d_tp2_sl2,l1_C1,corr_cluster,bb_width,0.1642509664009934,single_feature,['bb_width'],1,,1,['bb_width'],[],abs_standardized_logistic_coefficient
logistic_regression,ng1s,garman_klass_10d_tp2_sl2,l1_C1,corr_cluster,"cluster_009: vol_ratio_5_20d (rep, n=2)",0.16000622980121296,correlation_cluster,['vol_ratio_5_20d'],1,9.0,2,"['vol_5d', 'vol_ratio_5_20d']",['vol_5d'],abs_standardized_logistic_coefficient
logistic_regression,ng1s,garman_klass_10d_tp2_sl2,l1_C1,corr_cluster,hmm_market_stress,0.14476786081859094,single_feature,['hmm_market_stress'],1,,1,['hmm_market_stress'],[],abs_standardized_logistic_coefficient
logistic_regression,ng1s,garman_klass_10d_tp2_sl2,l1_C1,corr_cluster,"cluster_003: body_pct (rep, n=6)",0.08488014091448336,correlation_cluster,['body_pct'],1,3.0,6,"['ret_1d', 'co_range', 'rsi_7d_change', 'rsi_14d_change', 'rsi_21d_change', 'body_pct']","['ret_1d', 'co_range', 'rsi_7d_change', 'rsi_14d_change', 'rsi_21d_change']",abs_standardized_logistic_coefficient
logistic_regression,ng1s,garman_klass_10d_tp2_sl2,l1_C1,corr_cluster,close_position_in_bar,0.003102556533507734,single_feature,['close_position_in_bar'],1,,1,['close_position_in_bar'],[],abs_standardized_logistic_coefficient
logistic_regression,ng1s,garman_klass_10d_tp2_sl2,l1_C1,corr_cluster,vol_252d,3.5874939501000545e-05,single_feature,['vol_252d'],1,,1,['vol_252d'],[],abs_standardized_logistic_coefficient
logistic_regression,ng1s,garman_klass_10d_tp2_sl2,l1_C1,corr_cluster,atr_10d_pct,0.0,single_feature,['atr_10d_pct'],1,,1,['atr_10d_pct'],[],abs_standardized_logistic_coefficient
logistic_regression,ng1s,garman_klass_10d_tp2_sl2,l1_C1,corr_cluster,atr_14d_pct,0.0,single_feature,['atr_14d_pct'],1,,1,['atr_14d_pct'],[],abs_standardized_logistic_coefficient
logistic_regression,ng1s,garman_klass_10d_tp2_sl2,l1_C1,corr_cluster,atr_20d,0.0,single_feature,['atr_20d'],1,,1,['atr_20d'],[],abs_standardized_logistic_coefficient
logistic_regression,ng1s,garman_klass_10d_tp2_sl2,l1_C1,corr_cluster,atr_5d_pct,0.0,single_feature,['atr_5d_pct'],1,,1,['atr_5d_pct'],[],abs_standardized_logistic_coefficient
