date,instrument,primary_signal,hmm_volatility_regime,hmm_prob_low_vol,hmm_prob_normal_vol,hmm_prob_high_vol,hmm_prob_extreme_vol,hmm_prob_low_or_normal_vol,hmm_prob_high_or_extreme_vol
2020-10-05,rb1s,1,extreme_vol,3.793868237715055e-38,3.1420559472721756e-25,4.428527343107145e-07,0.9999995571489378,3.142055947272555e-25,1.0000000000016722
2020-10-05,si1s,-1,extreme_vol,9.053385221832852e-11,2.431809978565847e-07,0.2153619573412108,0.7846377993897458,2.43271531708803e-07,0.9999997567309565
2020-10-06,cl1s,0,high_vol,7.607671384654774e-07,6.964880043319418e-05,0.9998726252598992,5.696517169796583e-05,7.040956757165966e-05,0.9999295904315971
2020-10-06,es1s,1,high_vol,8.128787288387723e-12,0.0012806554719989,0.9964750768052956,0.0022442677158127,0.0012806554801276873,0.9987193445211082
2020-10-06,fesx1s,-1,high_vol,0.0015202660342029,0.0004803503407647,0.99794140511638,5.797850808903458e-05,0.0020006163749676,0.997999383624469
2020-10-06,gc1s,0,high_vol,2.3849422323548707e-11,0.0009721537098142,0.99859617651782,0.0004316697499081,0.0009721537336636224,0.999027846267728
2020-10-06,hg1s,1,low_vol,0.7179085512128472,0.0395738642406085,0.0010671533522964,0.2414504311908374,0.7574824154534557,0.2425175845431338
2020-10-06,ho1s,0,high_vol,1.5540582652124658e-14,7.1226393942899484e-06,0.9999909388253744,1.9385319420891157e-06,7.122639409830531e-06,0.9999928773573165
2020-10-06,ng1s,0,extreme_vol,5.193308402642778e-16,0.0001335410777059,0.0087639859130692,0.9911024730090546,0.00013354107770641933,0.9998664589221238
2020-10-06,nq1s,1,high_vol,2.486803348013683e-12,0.0013394855313029,0.994207065199908,0.0044534492654875,0.0013394855337897033,0.9986605144653955
2020-10-06,pl1s,1,extreme_vol,3.8468763049390107e-41,7.181655397282198e-68,1.8656743573510267e-32,1.0,3.8468763049390107e-41,1.0
2020-10-06,rb1s,1,extreme_vol,1.5716041146029182e-09,0.0354301665754495,0.0018755282005942,0.9626943036500588,0.03543016814705362,0.964569831850653
2020-10-06,si1s,1,extreme_vol,3.552867556583559e-26,2.7912646970731182e-14,3.481058959515303e-25,1.0,2.791264697076671e-14,1.0
2020-10-07,cl1s,1,low_vol,0.4634580300421801,0.0398564188704804,0.0466998223028244,0.4499857287870794,0.5033144489126605,0.49668555108990375
2020-10-07,es1s,1,high_vol,7.55196859253355e-13,0.000175970978016,0.9974549705854642,0.0023690584356005,0.00017597097877119686,0.9998240290210647
2020-10-07,fesx1s,-1,high_vol,0.0101737887720842,0.000583981204237,0.9891840179207924,5.821210283550842e-05,0.0107577699763212,0.9892422300236279
2020-10-07,gc1s,0,high_vol,2.4207506498493185e-05,0.0012682967717415,0.9986589658860922,4.852983245867347e-05,0.0012925042782399932,0.9987074957185508
2020-10-07,hg1s,-1,extreme_vol,3.4115416068333205e-21,0.0360453085719586,0.0005356762478608,0.9634190151773288,0.0360453085719586,0.9639546914251895
2020-10-07,ho1s,0,extreme_vol,0.0431535854575452,0.0024261013840928,0.0007519990274177,0.9536683141330692,0.045579686841638,0.9544203131604869
2020-10-07,ng1s,0,extreme_vol,3.1653326866460016e-18,6.093151218307763e-05,0.0008717798903532,0.9990672885960284,6.0931512183080795e-05,0.9999390684863817
2020-10-07,nq1s,1,high_vol,1.3090105654238258e-10,0.0004194919966987,0.9990345709300028,0.000545936941569,0.00041949212759975654,0.9995805078715718
2020-10-07,pl1s,1,extreme_vol,1.78412886978286e-05,1.825920936138792e-05,2.403933215170153e-07,0.9999636591074326,3.610049805921652e-05,0.999963899500754
2020-10-07,rb1s,1,extreme_vol,0.0255999453538694,1.536618855927987e-09,0.0036000009969703,0.9708000521100614,0.025599946890488258,0.9744000531070317
2020-10-07,si1s,1,extreme_vol,1.4782185650089392e-13,1.7204461919948493e-08,0.0001295298535227,0.9998704529453248,1.7204609741804994e-08,0.9999999827988475
2020-10-08,cl1s,1,high_vol,7.495533674549775e-05,0.0009390575948081,0.9988041067141142,0.0001818803528608,0.0010140129315535978,0.9989859870669751
2020-10-08,es1s,1,high_vol,0.0019034595994186,0.0017397669510303,0.9962016662859629,0.0001551071632598,0.0036432265504489003,0.9963567734492227
2020-10-08,fesx1s,-1,high_vol,0.0064027092518069,0.0005546772860087,0.992967194180908,7.541928148759169e-05,0.0069573865378156005,0.9930426134623955
2020-10-08,gc1s,0,high_vol,0.0030935316692322,0.0010899068486306,0.9957925904705012,2.3971013966071224e-05,0.0041834385178628,0.9958165614844673
2020-10-08,hg1s,-1,low_vol,0.525588898572517,0.0120595408160804,0.002703077840955,0.4596484827708321,0.5376484393885974,0.4623515606117871
2020-10-08,ho1s,0,high_vol,0.0008786752229464,0.0007291975819911,0.9979627051507406,0.0004294220472626,0.0016078728049375,0.9983921271980032
2020-10-08,ng1s,0,extreme_vol,7.542199626510814e-12,0.0049948013814325,0.0892404300087885,0.9057647686049431,0.0049948013889747,0.9950051986137316
2020-10-08,nq1s,1,high_vol,0.0006889908787961,0.0013961700835475,0.9978100221072982,0.0001048169292241,0.0020851609623436,0.9979148390365223
2020-10-08,pl1s,1,extreme_vol,0.0003605336003504,1.535425283491149e-07,1.3858171875452354e-06,0.9996379270384256,0.0003606871428787491,0.9996393128556131
2020-10-08,rb1s,1,normal_vol,3.36305060336617e-06,0.8820189268793573,0.0014456896387088,0.1165320204332088,0.8820222899299607,0.1179777100719176
2020-10-08,si1s,1,extreme_vol,0.0007219163356796,3.89792208878915e-05,0.0045224124748168,0.9947166919702518,0.0007608955565674915,0.9992391044450686
2020-10-09,cl1s,1,extreme_vol,0.0847867233249425,0.0386962245228812,0.0040664807141782,0.8724505714376871,0.1234829478478237,0.8765170521518653
2020-10-09,es1s,1,high_vol,0.0029765223184203,0.0013894516107293,0.9954878669260347,0.0001461591447874,0.0043659739291496,0.9956340260708222
2020-10-09,fesx1s,-1,high_vol,0.0193615272257542,0.0010067309477896,0.9795471477911812,8.459403690888403e-05,0.0203682581735438,0.9796317418280901
2020-10-09,gc1s,0,high_vol,2.5782579831876214e-14,0.0011447973113486,0.997952856567032,0.0009023461212419,0.0011447973113743826,0.9988552026882739
2020-10-09,hg1s,-1,extreme_vol,0.054352351839625,0.3990000026460636,0.0024147684187185,0.544232877092383,0.4533523544856886,0.5466476455111015
2020-10-09,ho1s,0,low_vol,0.9112085559518398,0.0051797742794075,0.0398037583539741,0.0438079114155856,0.9163883302312473,0.0836116697695597
2020-10-09,ng1s,-1,extreme_vol,1.4042574612820225e-17,0.0005859654501934,0.0014958507226489,0.9979181838306176,0.000585965450193414,0.9994140345532665
2020-10-09,nq1s,1,high_vol,3.552120703483149e-06,0.0005126754098043,0.999364078490035,0.000119693978398,0.0005162275305077831,0.9994837724684329
2020-10-09,pl1s,1,extreme_vol,3.595199219631203e-22,5.911240495868488e-13,7.058101419259626e-17,1.0,5.911240499463687e-13,1.0
2020-10-09,rb1s,1,extreme_vol,0.1426091789688933,3.523844045447777e-11,0.0077892114025824,0.8496016095932761,0.14260917900413175,0.8573908209958585
2020-10-09,si1s,-1,extreme_vol,1.163184352577332e-36,2.1475219186100784e-16,6.288502889812886e-16,1.0,2.1475219186100784e-16,1.0000000000000007
2020-10-12,cl1s,1,extreme_vol,0.00018333068442,0.0016644103934144,0.0001263317324509,0.9980259271924004,0.0018477410778344001,0.9981522589248513
2020-10-12,es1s,1,high_vol,9.0241290392596e-11,0.000247630774862,0.9986808512490954,0.0010715178863467,0.0002476308651032904,0.9997523691354422
2020-10-12,fesx1s,-1,high_vol,0.0025196409154798,0.00043870810746,0.9969667135990576,7.493737966754865e-05,0.0029583490229398,0.9970416509787252
2020-10-12,gc1s,0,high_vol,0.0050987615772083,0.0011940729570123,0.9936466073572078,6.055810887481117e-05,0.0062928345342206,0.9937071654660826
2020-10-12,hg1s,-1,low_vol,0.903013884701904,0.0223489526683586,0.0009027579813568,0.0737344046470953,0.9253628373702626,0.0746371626284521
2020-10-12,ho1s,0,extreme_vol,4.9451231875541776e-05,0.0015081887592694,2.6958292355253603e-06,0.9984396641809796,0.001557639991144942,0.9984423600102151
2020-10-12,ng1s,-1,extreme_vol,3.842199472140613e-14,0.0042390692630852,0.0076952284351565,0.98806570230208,0.0042390692631236225,0.9957609307372365
2020-10-12,nq1s,1,extreme_vol,8.435355290507963e-30,0.1166016073393687,0.0116125675176368,0.8717858251440812,0.1166016073393687,0.883398392661718
2020-10-12,pl1s,1,extreme_vol,1.2162003389162714e-10,3.1960278539947877e-25,5.919670646448584e-11,0.9999999998181012,1.2162003389162745e-10,0.9999999998772979
2020-10-12,rb1s,1,extreme_vol,0.0091483299998763,1.4941381131639553e-12,0.0031762119126674,0.9876754580833148,0.009148330001370438,0.9908516699959822
2020-10-12,si1s,-1,extreme_vol,2.202092946961968e-06,1.6212828072180509e-06,0.011524609950898,0.9884715666709296,3.8233757541800195e-06,0.9999961766218276
2020-10-13,cl1s,1,high_vol,0.0018182532631961,0.3059417769604936,0.6865073793624553,0.005732590410409,0.30776003022368975,0.6922399697728643
