date,instrument,primary_signal,hmm_predicted_regime,hmm_regime_confidence,hmm_regime_prob_0,hmm_regime_prob_1,hmm_regime_prob_2,hmm_regime_prob_3
2020-05-18,nq1s,-1,1.0,0.9989213768472412,0.0007778372891648,0.9989213768472412,0.0003007858608796,4.362759658875812e-12
2020-05-18,pl1s,1,0.0,1.0,1.0,3.986730135248353e-66,4.849439238772556e-44,2.6844131054901124e-58
2020-05-18,rb1s,-1,1.0,1.0,2.9876046113913675e-80,1.0,2.2063615533541545e-15,9.448961246648993e-64
2020-05-18,si1s,1,0.0,0.84426340548269,0.84426340548269,1.1282923360043663e-10,4.077420048086415e-06,0.1557325169875501
2020-05-19,cl1s,1,0.0,0.9997769498687992,0.9997769498687992,6.2478655450435325e-25,3.5730375167443456e-84,0.0002230501304756
2020-05-19,es1s,0,1.0,0.7565475210648708,0.2426419393197881,0.7565475210648708,0.0008105396134956,3.886111716673186e-13
2020-05-19,fesx1s,-1,1.0,0.99381705848563,0.0024920254961911,0.99381705848563,0.0036909160172578,3.2145122666091257e-29
2020-05-19,gc1s,0,3.0,0.9991051559677308,0.0001056905851005,0.000784509104491,4.644342246279957e-06,0.9991051559677308
2020-05-19,hg1s,-1,0.0,0.9877054906347964,0.9877054906347964,2.908370316631923e-05,0.0122418036165542,2.362204692723114e-05
2020-05-19,ho1s,0,0.0,0.9999999985593604,0.9999999985593604,7.008029043074616e-31,1.4350987577246234e-09,8.962093171623725e-12
2020-05-19,ng1s,-1,3.0,0.9508845234235428,0.049075265418209,4.02111570148876e-05,3.830333150069758e-14,0.9508845234235428
2020-05-19,nq1s,-1,1.0,0.9963769214452818,4.126820357880627e-05,0.9963769214452818,0.0007356835578571,0.0028461267944456
2020-05-19,pl1s,1,0.0,1.0,1.0,1.039920050504655e-28,4.074986882675546e-23,3.533396524028244e-18
2020-05-19,rb1s,-1,1.0,0.9999806002296318,1.1049392827285825e-17,0.9999806002296318,1.939977229728358e-05,4.119256345478621e-15
2020-05-19,si1s,1,0.0,0.547151887868406,0.547151887868406,2.97131484280727e-10,3.1430312404749594e-05,0.452816681520324
2020-05-20,cl1s,0,3.0,0.9982733144160152,0.0017266855843494,9.857008923040283e-25,2.1879364135712842e-86,0.9982733144160152
2020-05-20,es1s,-1,1.0,0.932951255749319,0.0669436477449367,0.932951255749319,0.0001050965054089,6.232605139538326e-16
