date,instrument,primary_signal,hmm_predicted_regime,hmm_volatility_regime,hmm_return_regime,hmm_market_state,hmm_regime_confidence,daily_return,realized_vol_20d
2020-12-29,ho1s,0,1.0,low_vol,weak,calm_negative,0.9995533937739044,0.005338560523644009,0.013117352113339364
2020-12-29,ng1s,0,1.0,high_vol,downside,stress,0.7268238351676874,0.05073364307805295,0.04152599131372505
2020-12-29,nq1s,-1,3.0,low_vol,strong_upside,calm_positive,0.9998545367213612,0.0006428863652807593,0.0074205135930526505
2020-12-29,pl1s,-1,3.0,normal_vol,strong_upside,calm_positive,0.7851021523938314,0.01286817272284524,0.017895174569491936
2020-12-29,rb1s,1,3.0,normal_vol,strong_upside,calm_positive,0.9943098581213384,0.012934518072992951,0.01613283584660362
2020-12-29,si1s,1,1.0,low_vol,positive,calm_positive,0.7889296838265091,-0.01213308744395658,0.022698231657960144
2020-12-30,cl1s,0,2.0,low_vol,weak,calm_negative,0.9991806732384904,0.008333332959056028,0.013807248284028148
2020-12-30,es1s,-1,3.0,low_vol,strong_upside,calm_positive,0.9999384749326916,0.001142473117597964,0.005129181249850558
2020-12-30,fesx1s,-1,3.0,low_vol,positive,calm_positive,0.9994228865472128,-0.004765909728389528,0.009153336133323753
2020-12-30,gc1s,1,3.0,high_vol,strong_upside,upside_breakout,0.9395863038474918,0.005576504322416298,0.007961159824048243
2020-12-30,hg1s,1,0.0,low_vol,positive,calm_positive,0.9989271909448256,-0.00182815370879863,0.008900507777526172
2020-12-30,ho1s,0,1.0,low_vol,weak,calm_negative,0.999622810881492,0.002755926325905822,0.012096464661242895
2020-12-30,ng1s,0,1.0,high_vol,downside,stress,0.9615367938289442,-0.00900495272399815,0.04150316150975496
2020-12-30,nq1s,-1,3.0,low_vol,strong_upside,calm_positive,0.9998829760091044,3.893777798369413e-05,0.006868665772601681
2020-12-30,pl1s,-1,3.0,normal_vol,strong_upside,calm_positive,0.9946967964318068,0.01496329757300674,0.016153299033248653
2020-12-30,rb1s,1,3.0,normal_vol,strong_upside,calm_positive,0.9983205091601832,0.016687224552138114,0.01539479116161787
2020-12-30,si1s,1,3.0,high_vol,strong_upside,upside_breakout,0.9654158986348764,0.013578975765596413,0.01814605405452092
2020-12-31,cl1s,0,2.0,low_vol,weak,calm_negative,0.9992931096341674,0.0024793390917505764,0.01350032794320993
2020-12-31,es1s,0,3.0,low_vol,strong_upside,calm_positive,0.9995430811887982,0.006591931262097006,0.005279654165156188
2020-12-31,fesx1s,0,,,,,,,
2020-12-31,gc1s,1,2.0,low_vol,positive,calm_positive,0.5016318123622243,0.0008978557097096829,0.007903015427709595
2020-12-31,hg1s,1,0.0,low_vol,positive,calm_positive,0.987263510459874,-0.008453084939851974,0.009144722070591046
2020-12-31,ho1s,0,1.0,low_vol,weak,calm_negative,0.9994645491055876,-0.00522858234927448,0.012117151958871043
2020-12-31,ng1s,0,1.0,high_vol,downside,stress,0.9543215513553104,0.04830911322533171,0.04274226200268993
2020-12-31,nq1s,-1,3.0,low_vol,strong_upside,calm_positive,0.9998802302168474,0.003426390997893769,0.006872998423431837
2020-12-31,pl1s,-1,1.0,low_vol,weak,calm_negative,0.9918619753621986,0.0006490496016264835,0.016124719531771012
